          10            2   			 4.249556457609793413e-11   			 6.880101950997324587e-11   			 -2.630545493387531174e-11
           9            3   			 1.593583671603672179e-11   			 2.230045567981061422e-11   			 -6.364618963773892430e-12
           8            4   			 4.033758668746794523e-12   			 5.266092294524864519e-12   			 -1.232333625778069996e-12
           7            5   			 7.260765603744227683e-13   			 9.130229293007692327e-13   			 -1.869463689263464644e-13
           6            6   			 9.529754854914293966e-14   			 1.172191456334612181e-13   			 -2.192159708431827844e-14
           5            7   			 9.189406467238783149e-15   			 1.114941455663866720e-14   			 -1.960008089399884051e-15
           4            8   			 6.461301422277271263e-16   			 7.771330769191776849e-16   			 -1.310029346914505586e-16
           3            9   			 3.230650711138634647e-17   			 3.864219189579696279e-17   			 -6.335684784410616319e-18
           2           10   			 1.090344615009288676e-18   			 1.299305479351876468e-18   			 -2.089608643425877920e-19
           1           11   			 2.230250348882635420e-20   			 2.624270804414439458e-20   			 -3.940204555318040380e-21
           0           12   			 2.090859702077469980e-22   			 4.056571968976391538e-23   			 1.685202505179830826e-22
          13            0   			 1.739276994618722584e-10   			 3.141416105077479498e-11   			 1.425135384110974634e-10
          12            1   			 2.543692604629880307e-10   			 5.448915961405454020e-10   			 -2.905223356775573713e-10
          11            2   			 1.716992508125169241e-10   			 2.655463812833870700e-10   			 -9.384713047087014590e-11
          10            3   			 7.082594096016321994e-11   			 9.616941898161628943e-11   			 -2.534347802145306949e-11
           9            4   			 1.991979589504590375e-11   			 2.543253198019862279e-11   			 -5.512736085152719040e-12
           8            5   			 4.033758668746794524e-12   			 4.982169130627331740e-12   			 -9.484104618805372162e-13
           7            6   			 6.050638003120189428e-13   			 7.329015569643866686e-13   			 -1.278377566523677258e-13
           6            7   			 6.806967753510210123e-14   			 8.146010530659119269e-14   			 -1.339042777148909145e-14
           5            8   			 5.743379042024242096e-15   			 6.820508141052192177e-15   			 -1.077129099027950081e-15
           4            9   			 3.589611901265150823e-16   			 4.242130067087237975e-16   			 -6.525181658220871521e-17
           3           10   			 1.615325355569316831e-17   			 1.903350224396669575e-17   			 -2.880248688273527440e-18
           2           11   			 4.956111886405858167e-19   			 5.828335391862438382e-19   			 -8.722235054565802152e-20
           1           12   			 9.292709787010979264e-21   			 1.079894152767269001e-20   			 -1.506231740661710746e-21
           0           13   			 8.041768084913347398e-23   			 1.544396680556451078e-23   			 6.497371404356896320e-23
          14            0   			 5.521514268630867886e-10   			 9.395290991540145227e-11   			 4.581985169476853364e-10
